rank,nome,avaliacao
677,Saint Petersburg (Second Edition),7.49
678,The Estates,7.47
679,Kanagawa,7.08
680,1989: Dawn of Freedom,7.80
681,Super Motherload,7.38
682,AuZtralia,7.38
683,Star Trek: Fleet Captains,7.50
684,Exit: The Game – The Secret Lab,7.11
685,Honey Buzz,7.83
686,King of New York,6.93
687,Black Angel,7.36
688,Blue Moon City,7.04
689,Vast: The Crystal Caverns,7.15
690,Imperium: Classics,7.83
691,Deep Sea Adventure,6.96
692,Washington's War,7.63
693,Summoner Wars: Alliances Master Set,8.09
694,Among the Stars,7.06
695,Panamax,7.32
696,Dungeons & Dragons: The Legend of Drizzt Board Game,7.23
697,CO₂: Second Chance,7.61
698,Finca,7.06
699,Blokus,6.87
700,878 Vikings: Invasions of England,7.54
701,Tribune: Primus Inter Pares,7.22
702,Squad Leader,7.53
703,Vasco da Gama,7.23
704,Trismegistus: The Ultimate Formula,7.64
705,FUSE,7.03
706,Lords of Xidit,7.12
707,Rhino Hero: Super Battle,7.27
708,Q.E.,7.46
709,Disney Villainous: Evil Comes Prepared,7.65
710,Dogs of War,7.52
711,"Heroes of Land, Air & Sea",7.67
712,Railroad Ink: Blazing Red Edition,7.16
713,Conflict of Heroes: Awakening the Bear! – Russia 1941-42,7.50
714,Jambo,7.00
715,The Mind,6.86
716,Yedo,7.37
717,The Pursuit of Happiness,7.20
718,One Deck Dungeon,7.02
719,13 Days: The Cuban Missile Crisis,7.27
720,Bus,7.54
721,Crystal Palace,7.59
722,Outlive,7.34
723,XCOM: The Board Game,7.03
724,Combat Commander: Pacific,8.11
725,Reef Encounter,7.14
726,Merv: The Heart of the Silk Road,7.67
727,Fugitive,7.21
728,ZÈRTZ,7.28
729,Marvel Dice Masters: Avengers vs. X-Men,7.14
730,Napoleon's Triumph,7.98
731,Ticket to Ride: Rails & Sails,7.44
732,Ricochet Robots,7.02
733,Perudo,6.91
734,Crown of Emara,7.46
735,Not Alone,7.00
736,Descent: Legends of the Dark,8.02
737,Red7,6.90
738,Scoville,7.15
739,Tang Garden,7.52
740,Spyfall,6.84
741,Friedrich,7.56
742,Star Wars: The Card Game,7.18
743,Tajemnicze Domostwo,7.15
744,Gentes,7.46
745,Undaunted: North Africa,7.93
746,Tinners' Trail,7.25
747,Spyrium,7.06
748,Carcassonne: The City,7.21
749,Union Pacific,7.21
750,Yellow & Yangtze,7.88
751,Empire of the Sun,8.24
752,Celestia,6.97
753,Hyperborea,7.20
754,Warhammer Underworlds: Shadespire,7.71
755,Brew Crafters,7.43
756,Pandemic: Rising Tide,7.60
757,Can't Stop,6.86
758,Ca$h 'n Guns (Second Edition),6.87
759,Dale of Merchants,7.20
760,The Bloody Inn,7.01
761,Unfair,7.34
762,Tammany Hall,7.28
763,Tumblin-Dice,7.20
764,Thunderstone,6.93
765,Summoner Wars: Phoenix Elves vs Tundra Orcs,7.52
766,Diamant,6.82
767,Trails of Tucana,7.46
768,Virgin Queen,8.05
769,Legendary: A Marvel Deck Building Game – Villains,7.58
770,The Palaces of Carrara,7.16
771,Signorie,7.42
772,Dice Hospital,7.18
773,Catacombs (Third Edition),7.55
774,Santiago,7.11
775,Conflict of Heroes: Awakening the Bear! – Operation Barbarossa 1941 (Second Edition),7.95
776,San Marco,7.17
777,Chronicles of Crime: 1400,7.89
778,Morels,6.99
779,Akrotiri,7.22
780,Forbidden Island,6.78
781,Last Night on Earth: The Zombie Game,6.93
782,Homesteaders,7.21
783,Rhino Hero,6.94
784,Roll Through the Ages: The Bronze Age,6.86
785,Container,7.15
786,Bridge,7.46
787,Sub Terra,7.38
788,The Magnificent,7.60
789,Genoa,7.06
790,Kitchen Rush,7.32
791,The Shipwreck Arcana,7.48
792,Detective: City of Angels,7.97
793,Menara,7.45
794,Wizard,6.94
795,Pictomania,7.28
